fecha,numero_dia,num_lote,temp_media,PAR,precipitaciones,profRaiz,diasDesdePrec,transpiracion,precipitacion_efectiva,evaporacion,percolacion_capa_1,percolacion_capa_2,percolacion_capa_3,drenaje,aguaUtilDisp1,aguaUtilDisp2,aguaUtilDisp3,aguaUtilDisp4,porcAguaUtil,cEstresHidrico,cEstresHidricoRadiacion,porcCobertura,cEstrsTerminco,EUR,biomasaDiaria,biomasaAcumulada,rendimiento,ici,DPV,DDS,ET0,che_pc,rend escalado,FCCH
20220523,171,9,15.1940766551,4.40613,0,2000,0,0.425045632329,0,0.190462420705,0,0,0,0,70.3193150755,69.1411714713,59.4556966644,59.0939770568,0.86003386756,1,1,0.332814540697,0.342575078812,1.37030031525,2.00944145065,770.965012362,362.745093296,0.470507853768,0.901612296496,106,1.26431069527,1,244.000655011,0
20220524,172,9,15.0397212544,3.930417,0,2000,0,0.259486461763,0,0.1269287193,0,0,0,0,70.1275147408,69.0762998558,59.3908250489,59.0291054413,0.858745816956,1,1,0.307982652951,0.335224821636,1.34089928654,1.62315892811,772.58817129,366.770682607,0.474729870631,0.543218897956,107,0.829439203074,1,246.708469525,0
20220525,173,9,11.9513274336,0.4932225,0,2000,0,0.0185774826944,0,0.009970956043,0,0,0,0,70.112899414,69.0716554852,59.3861806782,59.0244610706,0.858650655494,1,1,0.283150765205,0.18815844922,0.752633796882,0.105110072621,772.693281363,369.562948397,0.47827897215,0.305421527755,108,0.0641701059222,1,248.586688402,0
20220526,174,9,10.161971831,2.7409725,0,2000,0,0.131074546129,0,0.0776646297425,0,0,0,0,70.0024661478,69.0388868486,59.3534120417,58.9916924341,0.857954858241,1,1,0.25831887746,0.102951039571,0.411804158283,0.291575850275,772.984857213,372.002263494,0.481254270408,0.343406512369,109,0.492462050804,1,250.227494832,0
20220527,175,9,13.140625,3.0126195,0,2000,0,0.123049609329,0,0.0810810711365,0,0,0,0,69.8906226743,69.0081244463,59.3226496394,58.9609300318,0.857274422639,1,1,0.233486989714,0.244791666667,0.979166666667,0.688753136161,773.673610349,374.259060719,0.483742828647,0.485535769624,110,0.50675289781,1,251.74553053,0
20220528,176,9,13.3249056604,2.2370445,0,2000,0,0.0780402971601,0,0.0576977275509,0,0,0,0,69.8134148725,68.988614372,59.3031395651,58.9414199575,0.856821962557,1,1,0.208655101968,0.253566936208,1.01426774483,0.473430514186,774.147040863,376.096339733,0.485820289791,0.451590171091,111,0.355572671631,1,252.98137711,0
20220529,177,9,10.3363636364,4.075704,0,2000,0,0.135084939691,0,0.113299905446,0,0,0,0,69.6663437321,68.9548431371,59.2693683302,58.9076487226,0.855994013073,1,1,0.183823214222,0.111255411255,0.445021645022,0.333414225871,774.480455089,377.599334137,0.487551792502,0.644966462419,112,0.688731697883,1,253.992366992,0
20220530,178,9,7.584375,3.5276715,0,2000,0,0.116295102316,0,0.112204723588,0,0,0,0,69.5250652329,68.9257693615,59.2402945546,58.878574947,0.855232346987,1,1,0.158991326476,0,0,0,774.480455089,378.715541037,0.488993025645,0.708391891291,113,0.6730281291,1,254.74318408,0
20220531,179,9,7.97622377622,1.638846,0,2000,0,0.038142618343,0,0.0431063994129,0,0,0,0,69.4724231789,68.9162337069,59.2307589,58.8690392924,0.854961516927,1,1,0.13415943873,0,0,0,774.480455089,379.643595812,0.49019131899,0.533880064856,114,0.25521677475,1,255.367440554,0
20220601,180,9,8.89897435897,2.449197,0,2000,0,0.0495256539499,0,0.0671785920791,0,0,0,0,69.3928631734,68.9038522934,59.2183774865,58.8566578789,0.854572502774,1,1,0.109327550984,0.0428083028083,0.171233211233,0.0458502111289,774.5263053,380.437023128,0.491186704085,0.5894505511,115,0.392718294016,1,255.901139806,0
20220602,181,9,10.8392307692,1.6669125,0,2000,0,0.0323427892671,0,0.0545074308318,0,0,0,0,69.3302700452,68.8957665961,59.2102917892,58.8485721816,0.85428300204,1,1,0.0844956632379,0.135201465201,0.540805860806,0.0761708166914,774.602476117,381.114415068,0.49201290574,0.650083731716,116,0.31471685147,1,256.356787808,0
20211204,1,10,25.8,4.8673872,0,0,0,0,0,0,0,0,0,0,50,37.5,37.5,37.5,0.666666666667,0.995101243417,0.999441023616,1,0.847619047619,3.38858099435,0,0,0,0,2.1935681215,14,1.60165143547,1,0,0
20211205,2,10,24.9,4.2118704,0,29.9832307085,0,1.30404913974,0,0,0,0,0,0,48.6959508603,37.5,37.5,37.5,0.649279344803,0.992893478113,0.99894419284,1.02112380875,0.804761904762,3.21564892552,13.8299952061,13.8299952061,0,0,1.40746786033,15,1.38806221287,1,0,0
20211206,3,10,25.5,5.1208848,0,59.9515564937,0,1.84396226814,0,-0.0257993540287,0,0,0,0,46.8777879462,37.5,37.5,37.5,0.625037172615,0.989144334914,0.998113302106,1.04216785447,0.833333333333,3.32704434035,17.7558418503,31.5858370564,0,0,1.90630063986,16,1.92311186593,1,0,0
20211207,4,10,27.1,6.4742976,0,89.8949555569,0,2.34849662965,0,-0.0557043055902,0,0,0,0,44.5849956221,37.5,37.5,37.5,0.594466608295,0.983015495547,0.996782083306,1.06308150914,0.909523809524,3.6263881507,24.9593637124,56.5452007688,0,0,2.09257885837,17,2.4018427517,1,0,0
20211208,5,10,28.4,4.9789728,0,119.798418056,0,2.00444385062,0,-0.0624466308078,0,0,0,0,42.6429984023,37.5,37.5,37.5,0.56857331203,0.976248835514,0.995341993834,1.08385120312,0.971428571429,3.86761460461,20.8714493982,77.416650167,0,0,3.08155651823,18,2.01233024263,1,0,0
20211209,6,10,24.2,2.558304,0,149.658677871,0,0.71847831873,0,-0.0266790389018,0,0,0,0,41.9511991224,37.5,37.5,37.5,0.559349321633,0.973410768647,0.99474546678,1.10456051722,0.771428571429,3.06950029749,8.67379881945,86.0904489864,0,0,1.40750820034,19,0.708506472387,1,0,0
20211210,7,10,20.3,1.5520896,9.4,179.501041874,0,0.254696102733,8.93,-0.0107202360967,0,0,0,0,50.6372232558,37.5,37.5,37.5,0.675162976744,0.996055396223,0.999657802467,1.12575159577,0.585714285714,2.34205542292,4.09219695827,90.1826459447,0,0,0.387904727646,20,0.246599937463,1,0,0
20211211,8,10,24.8,5.5730592,0,209.490775948,0,1.98724577507,0,-0.0918736549526,0,0,0,0,48.7418511357,37.5,37.5,37.5,0.649891348476,0.992977484975,0.998962985685,1.14687719177,0.8,3.19668155419,20.4319561252,110.61460207,0,0,1.45316479752,21,1.87858044569,1,0,0
20211212,9,10,23.7,3.8891664,11.43,239.459665519,0,1.41305957056,10.8585,-0.0706630039026,0,0,0,0,58.257954569,37.5,37.5,37.5,0.776772727587,1,1,1.16815219177,0.747619047619,2.99047619048,13.5861467795,124.200748849,0,0,1.49190309908,22,1.31209809402,1,0,0
20211213,10,10,22,2.7853632,0,269.459665519,0,0.890175603336,0,-0.0474180427036,0,0,0,0,57.4151970084,37.5,37.5,37.5,0.765535960112,1,1,1.18942719177,0.666666666667,2.66666666667,8.8346312774,133.035380127,0,0,1.08947629173,23,0.810678034397,1,0,0
20211214,11,10,25.6,5.5971648,0,299.459665519,0,2.45556548738,0,-0.137982645711,0,0,0,0,55.0976141667,37.5,37.5,37.5,0.734634855556,1,1,1.21070219177,0.838095238095,3.35238095238,22.717408488,155.752788615,0,0,2.14509812175,24,2.19627037961,1,0,0
20211215,12,10,24.2,5.7293568,0,329.459665519,0,2.41595721499,0,-0.142034933445,0,0,0,0,52.8236918852,37.5,37.5,37.5,0.704315891803,0.99880506675,1,1.23195176956,0.771428571429,3.08571428571,21.7798701373,177.532658752,0,0,1.84458429523,25,2.12287321149,1,0,0
20211216,13,10,26.8,6.6080448,0,359.459665519,0,2.97716472317,0,-0.18192819226,0,0,0,0,50.0284553543,37.5,37.5,37.5,0.66704607139,0.995145500556,0.999451049377,1.25312349009,0.895238095238,3.57898661491,29.6365007274,207.16915948,0,0,2.38383516146,26,2.57087703615,1,0,0
20211217,14,10,26.9,6.3436608,0,389.443197,0,3.07399328045,0,-0.194303569134,0,0,0,0,47.148765643,37.5,37.5,37.5,0.628650208573,0.989758833832,0.998248512913,1.27418060928,0.9,3.59369464649,29.0477245188,236.216883998,0,0,2.52785237135,27,2.61107688971,1,0,0
20211218,15,10,28.6,6.5952144,0,419.390652388,0,3.07088762923,0,-0.200009304929,0,0,0,0,44.2778873187,37.5,37.5,37.5,0.590371830916,0.982052191307,0.996575365634,1.29507376965,0.980952380952,3.91037191087,33.3996172711,269.616501269,0,0,2.41143943103,28,2.56842215702,1,0,0
20211219,16,10,30.6,6.6123216,0,449.287913357,0,3.53849235806,0,-0.236673183356,0,0,0,0,40.976068144,37.5,37.5,37.5,0.546347575253,0.968967336502,0.99381907367,1.31568854973,1,3.97527629468,34.5839330658,304.200434335,0,0,3.08750717314,29,2.91665964986,1,0,0
